TrackingTiming,PointMatchingTiming,TrackedPoints,TotalPoints,MissingPoints,CostMatrixTiming,EstimationDisplacementTiming,EstimationExtrapolationTiming,EstimationSpringTiming
2.2993,5.5267,192,192,0,4.4413,0.0005,0.0005,0.0102
2.6851,5.5405,192,192,0,4.4595,0.0007,0.0005,0.0097
2.3216,6.0315,192,192,0,4.4344,0.0007,0.0005,0.0102
2.3551,8.1694,192,192,0,6.3613,0.001,0.0007,0.0153
2.3797,5.5884,192,192,0,4.4938,0.0005,0.0007,0.011
2.326,5.5526,192,192,0,4.4712,0.0007,0.0005,0.0104
2.5994,5.5597,192,192,0,4.4236,0.0007,0.0005,0.0097
2.4135,5.4942,192,192,0,4.4167,0.0007,0.0005,0.0097
2.3198,5.5754,192,192,0,4.4636,0.001,0.0005,0.0125
2.3006,5.497,192,192,0,4.4249,0.0005,0.0007,0.0112
2.3262,6.0269,192,192,0,4.4707,0.0007,0.0007,0.0148
2.305,5.4927,192,192,0,4.4282,0.0005,0.0007,0.0097
2.2929,5.5024,192,192,0,4.4285,0.0005,0.0005,0.0115
2.3631,5.5344,192,192,0,4.4538,0.0007,0.0005,0.0094
2.3137,5.5057,192,192,0,4.4331,0.0005,0.0005,0.0112
2.3961,5.582,192,192,0,4.4981,0.0005,0.0005,0.0104
2.3462,5.5326,192,192,0,4.4495,0.0005,0.0007,0.0097
2.3283,5.5646,192,192,0,4.4661,0.0005,0.0005,0.0099
2.3367,5.9885,192,192,0,4.4405,0.001,0.0007,0.013
2.3669,7.9392,192,192,0,6.1854,0.0007,0.0007,0.0122
3.9142,9.0188,192,192,0,6.5192,0.0189,0.0012,0.0389
3.6134,7.6602,192,192,0,6.0546,0.0007,0.0007,0.0151
2.3692,5.5992,192,192,0,4.5083,0.0005,0.0005,0.0102
2.35,5.5603,192,192,0,4.4674,0.0007,0.0005,0.0102
2.3436,5.5149,192,192,0,4.4418,0.001,0.0005,0.0092
2.3661,5.6217,192,192,0,4.5168,0.0005,0.0007,0.0094
