results1,results2,results3,results4
0.118725541933399,0.11706653675982,0.0745006274129279,2
0.120540684600802,0.118707707536586,0.0725221292514742,2
0.117719057393995,0.117505749442491,0.0662866332029982,2
0.121739329683517,0.118659775738384,0.0709212287097067,2
0.117059257956434,0.111053533254053,0.0708921424429959,2
0.12343682634694,0.121440745803919,0.0763748483716984,2
0.135578008890626,0.119724699795497,0.0872475450215771,2
0.140899693401173,0.122256228621365,0.0917978796739045,2
0.142274436776836,0.125949996027659,0.0945906450881899,2
0.149743856129754,0.128214138749533,0.102178722365676,2
0.154457011146866,0.13112327550356,0.107335753167029,2
0.15773879197186,0.133817251554502,0.111384182935384,2
0.162975003891759,0.13844830943429,0.119215093298403,2
0.176593418226267,0.150358511677388,0.134432030659133,2
0.171737675576434,0.145614636723778,0.130513094673725,2
0.173175586485895,0.146841326283747,0.135006053256183,2
0.17775578350838,0.150431626669122,0.140194825517742,2
0.188919712271057,0.16308894179514,0.152103781684915,2
0.190037937391519,0.16161940466696,0.155389113250058,2
0.202403914652614,0.172983912971948,0.16847903697679,2
0.207260130857356,0.175878757388233,0.175842546514288,2
0.214161340096863,0.184925973930972,0.180823987700174,2
0.214033380449886,0.182267615035349,0.182623612682876,2
0.215191896442252,0.182901170608889,0.184908369418588,2
0.218229538504043,0.186210077911133,0.186822189663866,2
0.238255443025757,0.207376601031492,0.204988161813953,2
0.233418754980776,0.19946209299688,0.201963250586297,2
0.234159748266279,0.201706687662715,0.201792514959949,2
0.237323413178098,0.200492839935408,0.204141458016918,2
0.241747339872588,0.205753727323221,0.209304571456283,2
