Run,Model,Location,Intensity,Direction,Error,Occlusions,Z-Movement
10,Spring,center,Medium,x,0.084240,2,False
10,Baseline,center,Medium,x,0.115135,2,False
1,Displacement,center,Strong,x,0.067881,2,False
1,Extrapolation,center,Strong,x,0.036624,2,False
1,Spring,center,Strong,x,0.087921,2,False
1,Baseline,center,Strong,x,0.120319,2,False
2,Displacement,center,Strong,x,0.071954,2,False
2,Extrapolation,center,Strong,x,0.039474,2,False
2,Spring,center,Strong,x,0.090412,2,False
2,Baseline,center,Strong,x,0.125654,2,False
3,Displacement,center,Strong,x,0.071101,2,False
3,Extrapolation,center,Strong,x,0.037121,2,False
3,Spring,center,Strong,x,0.091312,2,False
3,Baseline,center,Strong,x,0.127791,2,False
4,Displacement,center,Strong,x,0.069952,2,False
4,Extrapolation,center,Strong,x,0.036369,2,False
4,Spring,center,Strong,x,0.092454,2,False
4,Baseline,center,Strong,x,0.128324,2,False
5,Displacement,center,Strong,x,0.071706,2,False
5,Extrapolation,center,Strong,x,0.036757,2,False
5,Spring,center,Strong,x,0.093411,2,False
5,Baseline,center,Strong,x,0.131917,2,False
6,Displacement,center,Strong,x,0.082583,2,False
6,Extrapolation,center,Strong,x,0.045999,2,False
6,Spring,center,Strong,x,0.102494,2,False
6,Baseline,center,Strong,x,0.145648,2,False
7,Displacement,center,Strong,x,0.077617,2,False
7,Extrapolation,center,Strong,x,0.040246,2,False
7,Spring,center,Strong,x,0.100982,2,False
7,Baseline,center,Strong,x,0.143530,2,False
8,Displacement,center,Strong,x,0.078756,2,False
8,Extrapolation,center,Strong,x,0.041012,2,False
8,Spring,center,Strong,x,0.100896,2,False
8,Baseline,center,Strong,x,0.145605,2,False
9,Displacement,center,Strong,x,0.083323,2,False
9,Extrapolation,center,Strong,x,0.042490,2,False
9,Spring,center,Strong,x,0.102071,2,False
9,Baseline,center,Strong,x,0.151756,2,False
10,Displacement,center,Strong,x,0.085310,2,False
10,Extrapolation,center,Strong,x,0.044583,2,False
10,Spring,center,Strong,x,0.104652,2,False
10,Baseline,center,Strong,x,0.155200,2,False
2,Displacement,center,Light,xy,0.005634,2,False
2,Extrapolation,center,Light,xy,0.025695,2,False
2,Spring,center,Light,xy,0.058731,2,False
2,Baseline,center,Light,xy,0.005025,2,False
3,Displacement,center,Light,xy,0.006959,2,False
3,Extrapolation,center,Light,xy,0.024631,2,False
3,Spring,center,Light,xy,0.055693,2,False
3,Baseline,center,Light,xy,0.006946,2,False
4,Displacement,center,Light,xy,0.009644,2,False
4,Extrapolation,center,Light,xy,0.022521,2,False
4,Spring,center,Light,xy,0.056038,2,False
4,Baseline,center,Light,xy,0.009563,2,False
5,Displacement,center,Light,xy,0.019212,2,False
5,Extrapolation,center,Light,xy,0.022755,2,False
5,Spring,center,Light,xy,0.058878,2,False
5,Baseline,center,Light,xy,0.025242,2,False
6,Displacement,center,Light,xy,0.014640,2,False
6,Extrapolation,center,Light,xy,0.025180,2,False
6,Spring,center,Light,xy,0.057573,2,False
6,Baseline,center,Light,xy,0.023452,2,False
7,Displacement,center,Light,xy,0.021330,2,False
7,Extrapolation,center,Light,xy,0.027849,2,False
7,Spring,center,Light,xy,0.061488,2,False
7,Baseline,center,Light,xy,0.034509,2,False
8,Displacement,center,Light,xy,0.019831,2,False
8,Extrapolation,center,Light,xy,0.025750,2,False
8,Spring,center,Light,xy,0.061412,2,False
8,Baseline,center,Light,xy,0.036076,2,False
9,Displacement,center,Light,xy,0.023862,2,False
9,Extrapolation,center,Light,xy,0.023442,2,False
