results1,results2,results3,results4
0.00981310695057032,0.00974226829750158,0.00277941660917597,2
0.00989466778197919,0.00981000839760678,0.00263636607643454,2
0.00976947383531052,0.00976048670096261,0.00219754453150624,2
0.00995167729084513,0.00980581303345099,0.00252427183935845,2
0.00975156600290355,0.00954200175728939,0.00251320963795959,2
0.0117204348730212,0.0116588286449393,0.00295849269682359,2
0.0124926736178545,0.0118829552825681,0.00380637800230263,2
0.0131402161842724,0.0123556388586597,0.0042154098654626,2
0.0133411807162613,0.0125951826806718,0.00447439409632874,2
0.01427291501956,0.0131971386500396,0.0052230656567389,2
0.0148672914811319,0.0135965905451278,0.00576426679124692,2
0.0152808994293178,0.0138826932886532,0.00620878095601497,2
0.0168827057245318,0.0155688442425662,0.00719321052520242,2
0.0189055298736405,0.0170963879100591,0.00912056448783541,2
0.0186265541076411,0.0171237514032627,0.00873705916225204,2
0.0191193185481035,0.0176441225885873,0.00940772765876947,2
0.0197157125095609,0.0180238004700017,0.0101235699547021,2
0.0213891513379852,0.0193510831547358,0.0118195894872942,2
0.0219312299276473,0.0198397270727132,0.0124477764056373,2
0.0246774219787616,0.0222826155596705,0.0146811122445919,2
0.0259945960505682,0.0234577365262633,0.0160139468719639,2
0.0273444539785526,0.0246843064067247,0.0169648771162326,2
0.027707584052859,0.0250309014058944,0.0173897891075526,2
0.0273160285752361,0.0243561816600763,0.0175581339782295,2
0.0284266656442664,0.0255403881285587,0.0180445360797022,2
0.0331677284371446,0.0297849129251464,0.0216613364534882,2
0.031909781352931,0.028417576082931,0.0209611271255299,2
0.0326425607827617,0.0294147712368995,0.0211474929064702,2
0.0331052132089778,0.0293833255504127,0.0215030664888371,2
0.034414609394687,0.0306772153681475,0.0226653408187627,2
